Datum,Start,Einde,Plaats,Omschrijving,Issue #,Opmerkingen
12/02/19,08:15,12:15,Campus,Uitlegsessie VOP,,
12/02/19,19:23,19:56,Extern,Brainstormen hoe ons project er zou kunnen uitzien - vragen opstellen,,
13/02/19,08:15,10:15,Campus,Communicatieles 1,,
14/02/19,13:30,16:00,Campus,Gesprek klant - User Stories aan product backlog toevoegen,,
15/02/19,18:52,19:45,Extern,opzoekingswerk verrichten - mqtt begrijpen,,
16/02/19,11:22,12:32,Extern,mgtt op papier zetten + verder opzoekingswerk,,
18/02/19,14:13,16:58,Extern,verder opzoekingswerk + gelijdelijk aan met alles wat gewend worden,,
19/02/19,08:15,12:30,Campus,API's samenstellen + MongoDB + NodeRED + Docker,,
20/02/19,08:15,10:15,Campus,Communicatieles 2,,
20/02/19,16:45,18:24,Extern,Overweging React/Vue/Angular + Leren werken met NodeJS,,
21/02/19,09:55,12:35,Extern,NodeJS + Express tutorials,,
21/02/19,13:30,17:45,Campus,Log files bekijken + node,,
23/02/19,10:30,13:00,Extern,Log files omzetten naar csv bestanden + verdere tutorials met wat probeersels (niet upgeload),,
23/02/19,14:30,16:00,Extern,verder met Node en Express,,
26/02/19,08:15,12:30,Campus,Dataflow + nodered research,,
26/02/19,17:30,18:45,Extern,nodered research,,
27/02/19,10:45,12:30,Extern,verdere research + schema vanwaar de data gehaald wordt en welke eventueel gestuurd wordt vanuit de drone,,
27/02/19,13:30,14:30,Extern,zie boven,,
28/02/19,13:30,17:45,Campus,stand van zaken,,
02/03/19,10:15,11:30,Extern,node-red in project proberen steken zodat iedereen toegang heeft tot de flows,,
04/03/19,08:30,11:50,Extern,node-red volledige website bekeken en gelezen om zo een beeld te kunnen vormen van de mockup drone + zaken gezocht om flows te triggeren maar blijkbaar neit mogelijk,,
05/03/19,08:15,12:30,Campus,bekeken hoe de mockup drone te realiseren + verder gewerkt,,
07/03/19,11:15,12:50,Extern,flows in node-red gemaakt,,
07/03/19,13:30,17:45,Campus,documentatie + unit testen,,
09/03/19,00:00,01:30,Extern,testen schrijven + verschillende test modules in package-lock + test script proberen schrijven,,
12/03/19,08:15,12:30,Campus,presentatie voorbereiden + bekijken wat er nog gedaan moest worden tegen donderdag,,
14/03/19,00:00,00:50,Extern,alles van analyse bekijken + poging tot diagram dataflow drone (uitstellen tot sprint 2) + wiki aanpassen,,
